,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,32.15,32.5,32.05,32.15,11501,JMA
1,2021-01-04 00:00:00+05:30,32.8,32.8,31.75,32.55,11546,JMA
2,2021-01-05 00:00:00+05:30,32.1,32.7,31.6,32.6,12331,JMA
3,2021-01-06 00:00:00+05:30,32.1,32.6,30.45,32.05,21001,JMA
4,2021-01-07 00:00:00+05:30,32.95,32.95,31.5,32.05,10424,JMA
5,2021-01-08 00:00:00+05:30,32.45,34.4,32.3,32.7,117887,JMA
6,2021-01-11 00:00:00+05:30,33.45,33.45,32.5,32.95,12598,JMA
7,2021-01-12 00:00:00+05:30,32.8,33.4,32.25,32.95,13203,JMA
8,2021-01-13 00:00:00+05:30,33.05,34.05,33.0,33.55,23420,JMA
9,2021-01-14 00:00:00+05:30,34.45,35.35,33.5,34.35,142023,JMA
10,2021-01-15 00:00:00+05:30,34.1,34.45,33.1,34.1,24816,JMA
11,2021-01-18 00:00:00+05:30,34.75,34.75,33.65,34.2,14007,JMA
12,2021-01-19 00:00:00+05:30,33.85,34.5,33.8,34.25,14139,JMA
13,2021-01-20 00:00:00+05:30,33.95,34.45,33.95,34.25,13322,JMA
14,2021-01-21 00:00:00+05:30,34.1,34.8,34.05,34.15,11050,JMA
15,2021-01-22 00:00:00+05:30,33.95,34.35,33.9,34.1,12937,JMA
16,2021-01-25 00:00:00+05:30,34.95,34.95,34.1,34.65,13753,JMA
17,2021-01-27 00:00:00+05:30,34.1,35.0,34.05,34.65,15101,JMA
18,2021-01-28 00:00:00+05:30,34.3,34.75,34.2,34.5,907,JMA
19,2021-01-29 00:00:00+05:30,35.0,35.0,34.1,34.55,9803,JMA
20,2021-02-01 00:00:00+05:30,34.95,35.75,34.4,35.1,25789,JMA
21,2021-02-02 00:00:00+05:30,35.75,35.75,34.6,34.9,11130,JMA
22,2021-02-03 00:00:00+05:30,34.8,35.3,34.65,35.05,5943,JMA
23,2021-02-04 00:00:00+05:30,35.55,35.55,34.5,35.1,8410,JMA
24,2021-02-05 00:00:00+05:30,34.9,35.25,34.8,34.85,10341,JMA
25,2021-02-08 00:00:00+05:30,35.75,35.9,34.8,34.95,18473,JMA
26,2021-02-09 00:00:00+05:30,34.8,35.8,34.5,34.65,11119,JMA
27,2021-02-10 00:00:00+05:30,35.65,35.65,30.1,33.2,34733,JMA
28,2021-02-11 00:00:00+05:30,33.2,35.2,33.2,34.7,9971,JMA
29,2021-02-12 00:00:00+05:30,35.85,35.85,34.25,34.7,8903,JMA
30,2021-02-15 00:00:00+05:30,35.8,36.0,34.9,35.3,10760,JMA
31,2021-02-16 00:00:00+05:30,35.0,35.15,34.75,34.95,6379,JMA
32,2021-02-17 00:00:00+05:30,35.0,35.9,35.0,35.0,6274,JMA
33,2021-02-18 00:00:00+05:30,35.2,35.8,34.8,35.25,3510,JMA
34,2021-02-19 00:00:00+05:30,35.1,35.45,34.4,34.6,13059,JMA
35,2021-02-22 00:00:00+05:30,34.7,35.2,34.65,34.85,7634,JMA
36,2021-02-23 00:00:00+05:30,35.0,35.5,34.65,35.1,11955,JMA
37,2021-02-24 00:00:00+05:30,35.45,38.2,34.9,35.05,5417,JMA
38,2021-02-25 00:00:00+05:30,35.3,35.5,34.6,35.0,17106,JMA
39,2021-02-26 00:00:00+05:30,35.05,35.05,33.2,33.6,15422,JMA
40,2021-03-01 00:00:00+05:30,34.95,35.0,34.35,34.75,8765,JMA
