,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,37.05,37.6,36.85,37.4,12858049,IDFCFIRSTB
1,2021-01-04 00:00:00+05:30,37.95,39.15,37.7,38.6,48722834,IDFCFIRSTB
2,2021-01-05 00:00:00+05:30,38.25,39.95,37.9,39.7,54314659,IDFCFIRSTB
3,2021-01-06 00:00:00+05:30,39.75,42.85,38.5,41.4,80681106,IDFCFIRSTB
4,2021-01-07 00:00:00+05:30,43.5,47.6,42.4,45.8,201972764,IDFCFIRSTB
5,2021-01-08 00:00:00+05:30,46.8,46.95,43.85,44.4,74289673,IDFCFIRSTB
6,2021-01-11 00:00:00+05:30,44.75,45.1,43.25,44.45,39358606,IDFCFIRSTB
7,2021-01-12 00:00:00+05:30,44.0,48.45,43.5,47.15,90521255,IDFCFIRSTB
8,2021-01-13 00:00:00+05:30,47.75,47.8,45.15,46.05,56558691,IDFCFIRSTB
9,2021-01-14 00:00:00+05:30,46.25,47.35,45.8,46.25,29310346,IDFCFIRSTB
10,2021-01-15 00:00:00+05:30,46.4,49.55,45.85,48.45,99486620,IDFCFIRSTB
11,2021-01-18 00:00:00+05:30,48.65,48.75,45.8,46.65,51656962,IDFCFIRSTB
12,2021-01-19 00:00:00+05:30,47.1,50.7,47.1,50.15,72082670,IDFCFIRSTB
13,2021-01-20 00:00:00+05:30,50.75,52.45,49.45,51.45,98044307,IDFCFIRSTB
14,2021-01-21 00:00:00+05:30,51.95,52.0,48.8,49.7,55907468,IDFCFIRSTB
15,2021-01-22 00:00:00+05:30,50.0,50.75,48.3,49.5,55567022,IDFCFIRSTB
16,2021-01-25 00:00:00+05:30,50.3,50.65,47.55,48.05,37299052,IDFCFIRSTB
17,2021-01-27 00:00:00+05:30,48.0,49.2,46.9,47.8,37095806,IDFCFIRSTB
18,2021-01-28 00:00:00+05:30,47.1,49.15,46.95,47.9,50095946,IDFCFIRSTB
19,2021-01-29 00:00:00+05:30,48.5,49.3,46.95,47.2,42499626,IDFCFIRSTB
20,2021-02-01 00:00:00+05:30,45.8,47.15,43.75,46.6,91266329,IDFCFIRSTB
21,2021-02-02 00:00:00+05:30,47.15,48.95,46.55,47.7,56064941,IDFCFIRSTB
22,2021-02-03 00:00:00+05:30,48.2,48.3,47.1,47.65,28568238,IDFCFIRSTB
23,2021-02-04 00:00:00+05:30,47.7,49.5,47.35,49.05,41320998,IDFCFIRSTB
24,2021-02-05 00:00:00+05:30,49.5,50.8,48.05,48.3,61029118,IDFCFIRSTB
25,2021-02-08 00:00:00+05:30,48.95,49.4,48.6,49.15,25004704,IDFCFIRSTB
26,2021-02-09 00:00:00+05:30,49.4,52.2,48.3,50.0,79600142,IDFCFIRSTB
27,2021-02-10 00:00:00+05:30,50.45,51.0,49.5,50.55,39925669,IDFCFIRSTB
28,2021-02-11 00:00:00+05:30,50.6,53.0,50.1,52.55,68713073,IDFCFIRSTB
29,2021-02-12 00:00:00+05:30,52.85,52.95,51.45,52.1,45538017,IDFCFIRSTB
30,2021-02-15 00:00:00+05:30,52.6,54.5,52.0,54.1,63488266,IDFCFIRSTB
31,2021-02-16 00:00:00+05:30,54.45,54.6,52.7,53.85,46908035,IDFCFIRSTB
32,2021-02-17 00:00:00+05:30,53.8,57.5,52.9,56.4,84077529,IDFCFIRSTB
33,2021-02-18 00:00:00+05:30,56.8,58.9,55.9,58.1,64960498,IDFCFIRSTB
34,2021-02-19 00:00:00+05:30,58.5,66.8,57.6,62.4,261417989,IDFCFIRSTB
35,2021-02-22 00:00:00+05:30,63.0,63.85,60.7,61.5,105148761,IDFCFIRSTB
36,2021-02-23 00:00:00+05:30,61.4,63.35,61.1,61.4,61275241,IDFCFIRSTB
37,2021-02-24 00:00:00+05:30,61.8,64.35,61.3,63.8,39413798,IDFCFIRSTB
38,2021-02-25 00:00:00+05:30,64.95,65.8,64.4,64.7,70565771,IDFCFIRSTB
39,2021-02-26 00:00:00+05:30,63.5,64.4,62.4,63.45,53553669,IDFCFIRSTB
40,2021-03-01 00:00:00+05:30,64.35,64.5,62.7,63.45,33031626,IDFCFIRSTB
41,2021-03-02 00:00:00+05:30,63.75,65.1,63.4,64.5,39385820,IDFCFIRSTB
42,2021-03-03 00:00:00+05:30,64.8,68.15,64.5,67.1,65259145,IDFCFIRSTB
43,2021-03-04 00:00:00+05:30,65.95,69.3,65.6,68.2,55584200,IDFCFIRSTB
44,2021-03-05 00:00:00+05:30,68.0,68.85,65.95,66.8,55030398,IDFCFIRSTB
45,2021-03-08 00:00:00+05:30,67.4,68.7,67.0,67.25,32067602,IDFCFIRSTB
46,2021-03-09 00:00:00+05:30,67.75,68.35,65.6,66.65,27400447,IDFCFIRSTB
47,2021-03-10 00:00:00+05:30,67.25,67.7,66.35,66.85,22266796,IDFCFIRSTB
48,2021-03-12 00:00:00+05:30,67.3,68.1,65.3,66.95,33728099,IDFCFIRSTB
49,2021-03-15 00:00:00+05:30,67.2,67.3,63.7,65.25,37011774,IDFCFIRSTB
50,2021-03-16 00:00:00+05:30,65.75,65.85,63.05,63.4,31183061,IDFCFIRSTB
51,2021-03-17 00:00:00+05:30,63.35,63.7,60.65,60.9,32300124,IDFCFIRSTB
52,2021-03-18 00:00:00+05:30,61.5,62.35,58.45,59.4,43275173,IDFCFIRSTB
53,2021-03-19 00:00:00+05:30,58.0,60.75,56.0,60.35,65794214,IDFCFIRSTB
54,2021-03-22 00:00:00+05:30,60.05,61.1,58.75,59.45,37193196,IDFCFIRSTB
55,2021-03-23 00:00:00+05:30,59.75,61.7,59.5,61.35,38827727,IDFCFIRSTB
56,2021-03-24 00:00:00+05:30,60.6,61.25,58.5,58.75,37223856,IDFCFIRSTB
57,2021-03-25 00:00:00+05:30,58.7,58.75,56.0,57.2,49179913,IDFCFIRSTB
58,2021-03-26 00:00:00+05:30,58.0,59.2,57.35,57.7,30706356,IDFCFIRSTB
59,2021-03-30 00:00:00+05:30,58.35,60.0,58.0,58.25,38680457,IDFCFIRSTB
60,2021-03-31 00:00:00+05:30,59.5,59.6,55.3,55.7,68707873,IDFCFIRSTB
61,2021-04-01 00:00:00+05:30,56.2,57.85,56.15,57.05,49970187,IDFCFIRSTB
62,2021-04-05 00:00:00+05:30,57.0,57.0,53.75,54.3,48364592,IDFCFIRSTB
63,2021-04-06 00:00:00+05:30,54.75,55.5,53.85,55.3,39222862,IDFCFIRSTB
