,date,open,high,low,close,volume,Company_Name
0,2021-02-25 00:00:00+05:30,100.15,100.15,100.15,100.15,7795,SMCGLOBAL
1,2021-02-26 00:00:00+05:30,105.15,105.15,103.15,105.15,391606,SMCGLOBAL
2,2021-03-01 00:00:00+05:30,109.0,109.0,99.9,99.9,373791,SMCGLOBAL
3,2021-03-02 00:00:00+05:30,99.0,99.25,94.95,95.05,95449,SMCGLOBAL
4,2021-03-03 00:00:00+05:30,91.35,94.9,91.25,93.05,76719,SMCGLOBAL
5,2021-03-04 00:00:00+05:30,91.0,92.0,88.4,88.4,237686,SMCGLOBAL
6,2021-03-05 00:00:00+05:30,88.4,92.5,87.0,87.95,110872,SMCGLOBAL
7,2021-03-08 00:00:00+05:30,90.7,90.7,86.55,87.1,81845,SMCGLOBAL
8,2021-03-09 00:00:00+05:30,87.0,90.65,85.55,89.0,130629,SMCGLOBAL
9,2021-03-10 00:00:00+05:30,91.45,92.2,79.15,80.2,444321,SMCGLOBAL
10,2021-03-12 00:00:00+05:30,82.0,86.55,77.75,79.35,258438,SMCGLOBAL
11,2021-03-15 00:00:00+05:30,81.95,81.95,76.55,77.1,119498,SMCGLOBAL
12,2021-03-16 00:00:00+05:30,77.8,78.15,73.8,76.25,156508,SMCGLOBAL
13,2021-03-17 00:00:00+05:30,78.25,78.25,72.0,72.8,159252,SMCGLOBAL
14,2021-03-18 00:00:00+05:30,74.5,75.4,71.5,72.3,141935,SMCGLOBAL
15,2021-03-19 00:00:00+05:30,72.7,72.7,68.45,69.6,155848,SMCGLOBAL
16,2021-03-22 00:00:00+05:30,69.6,72.15,69.6,71.2,105727,SMCGLOBAL
17,2021-03-23 00:00:00+05:30,71.35,71.9,70.75,71.25,26141,SMCGLOBAL
18,2021-03-24 00:00:00+05:30,71.5,72.4,69.9,70.1,34565,SMCGLOBAL
19,2021-03-25 00:00:00+05:30,70.4,70.9,67.5,69.8,64420,SMCGLOBAL
20,2021-03-26 00:00:00+05:30,69.05,71.25,69.0,69.35,64478,SMCGLOBAL
21,2021-03-30 00:00:00+05:30,69.75,70.5,68.3,69.0,30849,SMCGLOBAL
22,2021-03-31 00:00:00+05:30,69.05,70.0,68.5,68.85,23758,SMCGLOBAL
23,2021-04-01 00:00:00+05:30,69.95,76.4,69.35,75.75,408648,SMCGLOBAL
24,2021-04-05 00:00:00+05:30,76.3,76.3,72.1,72.5,103736,SMCGLOBAL
25,2021-04-06 00:00:00+05:30,72.3,72.75,71.55,72.15,21190,SMCGLOBAL
26,2021-04-07 00:00:00+05:30,73.6,73.6,71.55,71.75,40812,SMCGLOBAL
27,2021-04-08 00:00:00+05:30,72.25,73.5,71.55,72.65,35054,SMCGLOBAL
