,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,13.9,14.2,13.85,14.1,4839044,CENTRALBK
1,2021-01-04 00:00:00+05:30,14.3,14.5,14.05,14.15,5112472,CENTRALBK
2,2021-01-05 00:00:00+05:30,14.1,14.15,13.85,14.1,4650787,CENTRALBK
3,2021-01-06 00:00:00+05:30,14.1,14.2,13.9,14.0,5126864,CENTRALBK
4,2021-01-07 00:00:00+05:30,14.1,14.2,14.0,14.05,3606445,CENTRALBK
5,2021-01-08 00:00:00+05:30,14.15,14.25,13.95,14.0,6179497,CENTRALBK
6,2021-01-11 00:00:00+05:30,14.1,14.15,13.8,13.85,3055201,CENTRALBK
7,2021-01-12 00:00:00+05:30,13.9,14.7,13.7,14.55,12270276,CENTRALBK
8,2021-01-13 00:00:00+05:30,14.7,14.75,14.2,14.45,8552956,CENTRALBK
9,2021-01-14 00:00:00+05:30,14.5,14.5,13.9,14.0,6174154,CENTRALBK
10,2021-01-15 00:00:00+05:30,13.95,14.1,13.75,13.85,4514601,CENTRALBK
11,2021-01-18 00:00:00+05:30,13.85,13.95,13.6,13.7,2970615,CENTRALBK
12,2021-01-19 00:00:00+05:30,13.8,14.2,13.8,14.0,5309219,CENTRALBK
13,2021-01-20 00:00:00+05:30,14.0,14.45,14.0,14.4,7163486,CENTRALBK
14,2021-01-21 00:00:00+05:30,14.5,14.65,14.0,14.05,4937692,CENTRALBK
15,2021-01-22 00:00:00+05:30,14.05,14.1,13.75,13.8,2679533,CENTRALBK
16,2021-01-25 00:00:00+05:30,13.9,14.05,13.2,13.35,4425191,CENTRALBK
17,2021-01-27 00:00:00+05:30,13.35,13.45,12.65,12.7,8857745,CENTRALBK
18,2021-01-28 00:00:00+05:30,12.65,13.4,12.5,13.2,6429735,CENTRALBK
19,2021-01-29 00:00:00+05:30,13.55,13.7,13.3,13.55,4493626,CENTRALBK
20,2021-02-01 00:00:00+05:30,13.75,14.6,13.65,14.3,16425401,CENTRALBK
21,2021-02-02 00:00:00+05:30,14.5,14.6,14.05,14.1,6755995,CENTRALBK
22,2021-02-03 00:00:00+05:30,14.2,14.25,13.85,14.1,6816089,CENTRALBK
23,2021-02-04 00:00:00+05:30,14.1,14.45,14.0,14.4,8383613,CENTRALBK
24,2021-02-05 00:00:00+05:30,14.5,15.5,14.5,14.8,24930750,CENTRALBK
25,2021-02-08 00:00:00+05:30,15.0,15.25,14.8,14.85,8006934,CENTRALBK
26,2021-02-09 00:00:00+05:30,14.95,15.2,14.65,14.8,15516440,CENTRALBK
27,2021-02-10 00:00:00+05:30,14.8,15.0,14.25,14.3,9158687,CENTRALBK
28,2021-02-11 00:00:00+05:30,14.35,14.55,14.2,14.3,4007745,CENTRALBK
29,2021-02-12 00:00:00+05:30,14.35,14.4,14.05,14.05,4349657,CENTRALBK
30,2021-02-15 00:00:00+05:30,14.05,14.25,13.85,13.95,4474638,CENTRALBK
31,2021-02-16 00:00:00+05:30,15.8,16.7,15.3,16.7,181348035,CENTRALBK
32,2021-02-17 00:00:00+05:30,16.9,20.0,16.45,20.0,189819375,CENTRALBK
33,2021-02-18 00:00:00+05:30,22.8,24.0,21.0,24.0,140134113,CENTRALBK
34,2021-02-19 00:00:00+05:30,25.0,26.4,21.6,21.6,138045437,CENTRALBK
35,2021-02-22 00:00:00+05:30,20.15,20.45,19.45,19.45,62268656,CENTRALBK
36,2021-02-23 00:00:00+05:30,19.0,19.2,17.75,17.9,58882426,CENTRALBK
37,2021-02-24 00:00:00+05:30,17.95,18.75,17.9,18.75,25093439,CENTRALBK
38,2021-02-25 00:00:00+05:30,19.5,19.65,19.25,19.65,4460161,CENTRALBK
39,2021-02-26 00:00:00+05:30,19.5,20.4,18.8,19.25,33731628,CENTRALBK
40,2021-03-01 00:00:00+05:30,20.0,20.0,18.45,18.6,13423237,CENTRALBK
