,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,90.85,93.9,90.35,93.4,902582,EIHOTEL
1,2021-01-04 00:00:00+05:30,96.0,97.15,94.3,96.2,1222470,EIHOTEL
2,2021-01-05 00:00:00+05:30,94.2,95.65,93.15,95.35,730450,EIHOTEL
3,2021-01-06 00:00:00+05:30,96.85,98.45,95.25,96.45,823757,EIHOTEL
4,2021-01-07 00:00:00+05:30,96.95,98.6,96.15,97.55,777225,EIHOTEL
5,2021-01-08 00:00:00+05:30,97.7,99.55,97.0,97.95,900807,EIHOTEL
6,2021-01-11 00:00:00+05:30,98.85,99.35,94.5,97.05,467175,EIHOTEL
7,2021-01-12 00:00:00+05:30,96.25,97.45,95.65,97.05,373608,EIHOTEL
8,2021-01-13 00:00:00+05:30,97.25,101.0,96.0,96.7,1042140,EIHOTEL
9,2021-01-14 00:00:00+05:30,96.7,99.9,96.7,97.15,707010,EIHOTEL
10,2021-01-15 00:00:00+05:30,97.4,98.7,94.5,96.75,850687,EIHOTEL
11,2021-01-18 00:00:00+05:30,97.0,97.25,92.55,93.05,1477205,EIHOTEL
12,2021-01-19 00:00:00+05:30,93.95,95.5,93.7,94.65,297521,EIHOTEL
13,2021-01-20 00:00:00+05:30,95.0,96.35,94.5,95.0,321694,EIHOTEL
14,2021-01-21 00:00:00+05:30,96.4,96.4,94.9,95.35,439687,EIHOTEL
15,2021-01-22 00:00:00+05:30,95.2,95.65,92.7,93.25,517803,EIHOTEL
16,2021-01-25 00:00:00+05:30,93.7,94.55,90.5,92.45,516329,EIHOTEL
17,2021-01-27 00:00:00+05:30,92.55,93.85,91.15,92.65,926962,EIHOTEL
18,2021-01-28 00:00:00+05:30,91.75,94.5,90.95,94.1,1002512,EIHOTEL
19,2021-01-29 00:00:00+05:30,94.7,94.9,92.05,93.0,261411,EIHOTEL
20,2021-02-01 00:00:00+05:30,93.0,93.8,90.1,91.2,637168,EIHOTEL
21,2021-02-02 00:00:00+05:30,91.5,93.65,91.5,92.2,930037,EIHOTEL
22,2021-02-03 00:00:00+05:30,92.3,95.4,91.85,94.2,593431,EIHOTEL
23,2021-02-04 00:00:00+05:30,93.0,95.0,92.6,93.1,1593314,EIHOTEL
24,2021-02-05 00:00:00+05:30,94.5,97.0,94.5,96.15,1045008,EIHOTEL
25,2021-02-08 00:00:00+05:30,97.0,99.7,96.55,99.0,1514226,EIHOTEL
26,2021-02-09 00:00:00+05:30,100.0,101.35,94.1,95.8,1794303,EIHOTEL
27,2021-02-10 00:00:00+05:30,97.25,98.0,95.5,97.4,1497005,EIHOTEL
28,2021-02-11 00:00:00+05:30,97.5,99.6,97.1,97.8,899142,EIHOTEL
29,2021-02-12 00:00:00+05:30,98.8,99.45,97.55,98.55,1227397,EIHOTEL
30,2021-02-15 00:00:00+05:30,99.5,99.95,98.2,99.35,631963,EIHOTEL
31,2021-02-16 00:00:00+05:30,99.6,101.25,98.1,99.35,842889,EIHOTEL
32,2021-02-17 00:00:00+05:30,99.0,99.4,95.9,97.2,946141,EIHOTEL
33,2021-02-18 00:00:00+05:30,97.65,98.95,96.5,98.0,727780,EIHOTEL
34,2021-02-19 00:00:00+05:30,98.5,99.8,96.55,97.15,811303,EIHOTEL
