date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,81.75,83.05,81.55,82.1,124138
2021-01-04 00:00:00+05:30,82.1,84.1,82.1,83.35,223334
2021-01-05 00:00:00+05:30,83.85,86.6,82.5,84.35,442334
2021-01-06 00:00:00+05:30,86.9,87.9,81.9,84.75,607225
2021-01-07 00:00:00+05:30,86.9,86.9,83.5,83.9,252151
2021-01-08 00:00:00+05:30,84.7,86.5,83.25,83.7,196579
2021-01-11 00:00:00+05:30,84.05,84.95,79.3,81.05,414888
2021-01-12 00:00:00+05:30,81.25,83.2,80.35,80.85,209066
2021-01-13 00:00:00+05:30,81.5,82.9,79.85,80.4,166622
2021-01-14 00:00:00+05:30,81,83.3,80.75,82,198979
2021-01-15 00:00:00+05:30,82.1,85.8,81.2,83,498438
2021-01-18 00:00:00+05:30,83.45,84.7,81.7,82.55,179913
2021-01-19 00:00:00+05:30,85.5,86.3,84,85.45,543495
2021-01-20 00:00:00+05:30,86.2,86.4,84.55,85.75,233827
2021-01-21 00:00:00+05:30,86.45,90,81.55,82.45,2002980
2021-01-22 00:00:00+05:30,82.45,85.5,80,82.6,533645
2021-01-25 00:00:00+05:30,83,83.9,78.4,79.55,295938
2021-01-27 00:00:00+05:30,79.95,81.9,79.1,79.95,187299
2021-01-28 00:00:00+05:30,79.5,81.9,78.4,80.4,289990
2021-01-29 00:00:00+05:30,80.9,81.75,77.55,78.7,158033
2021-02-01 00:00:00+05:30,78.9,81.7,76.95,80.5,299435
2021-02-02 00:00:00+05:30,80.5,82.5,79.15,79.55,193456
2021-02-03 00:00:00+05:30,80.2,80.7,79,79.25,161812
2021-02-04 00:00:00+05:30,79.55,81.7,79.45,80,153482
2021-02-05 00:00:00+05:30,81,81.4,77.95,78.65,209271
2021-02-08 00:00:00+05:30,78.95,80.2,77.55,77.9,145968
2021-02-09 00:00:00+05:30,78.4,78.45,76.05,76.45,190309
2021-02-10 00:00:00+05:30,76.9,77.55,73.75,75.95,224372
2021-02-11 00:00:00+05:30,75.9,76.7,73.85,74.35,223332
2021-02-12 00:00:00+05:30,74.5,75.2,72.8,73.05,214108
2021-02-15 00:00:00+05:30,73.4,74.35,73.4,73.65,177878
2021-02-16 00:00:00+05:30,74.05,77.5,74.05,75.85,262355
2021-02-17 00:00:00+05:30,75.45,76,74.45,74.85,145000
2021-02-18 00:00:00+05:30,75.4,75.4,72.9,73.6,304536
2021-02-19 00:00:00+05:30,73.6,74.8,71.1,71.95,453473
2021-02-22 00:00:00+05:30,72,73.5,71.65,71.9,131463
2021-02-23 00:00:00+05:30,72.4,73.4,71.6,72.4,93261
2021-02-24 00:00:00+05:30,72.75,75.5,72.45,73.7,115877
2021-02-25 00:00:00+05:30,74,77.95,73.3,77,450684
2021-02-26 00:00:00+05:30,74.55,76.3,72.95,73.85,296843
2021-03-01 00:00:00+05:30,74.5,78.05,74.5,76.5,233036
2021-03-02 00:00:00+05:30,76.95,77.65,75.75,76.6,138666
2021-03-03 00:00:00+05:30,77.25,80.4,76.8,78.9,517550
2021-03-04 00:00:00+05:30,78.35,81.65,75.5,79.95,459813
2021-03-05 00:00:00+05:30,80.15,85.9,79.95,82,1547334
2021-03-08 00:00:00+05:30,82.9,88.75,82.5,85.5,2243190
2021-03-09 00:00:00+05:30,87,88.75,83.15,84.55,906324
2021-03-10 00:00:00+05:30,85.5,86.65,83.7,84.5,386672
2021-03-12 00:00:00+05:30,85.05,86.1,82.05,82.85,555710
