date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,387.65,415.9,387.65,411.35,9520939
2021-01-04 00:00:00+05:30,415,446.55,414.2,443.25,15940056
2021-01-05 00:00:00+05:30,432,439,430,437.25,5502895
2021-01-06 00:00:00+05:30,438.95,446.4,430.45,434.85,5684264
2021-01-07 00:00:00+05:30,437.85,440.25,428.8,431.35,4227651
2021-01-08 00:00:00+05:30,435.05,437.45,427.7,431.8,3344933
2021-01-11 00:00:00+05:30,434.8,434.8,423.6,426.8,2062482
2021-01-12 00:00:00+05:30,425.1,451,418.1,443.05,6187578
2021-01-13 00:00:00+05:30,447.4,448.75,419.7,427.9,5255513
2021-01-14 00:00:00+05:30,431.25,441.35,423.35,426.15,4779868
2021-01-15 00:00:00+05:30,427.1,430.05,417.4,424.1,2959135
2021-01-18 00:00:00+05:30,426.65,426.65,402.55,409.25,5385397
2021-01-19 00:00:00+05:30,410.7,447,410.7,437.95,13734366
2021-01-20 00:00:00+05:30,441.05,458.9,432.05,457.45,9187097
2021-01-21 00:00:00+05:30,459,464.85,427.8,431.7,9421726
2021-01-22 00:00:00+05:30,434.35,443.85,420.2,422.15,9357221
2021-01-25 00:00:00+05:30,435,449.5,416.2,420.6,9914676
2021-01-27 00:00:00+05:30,422.45,430.75,408.7,410.5,5084464
2021-01-28 00:00:00+05:30,401,414.2,397.5,405.25,3748093
2021-01-29 00:00:00+05:30,413,427.25,390.65,397.85,7562596
2021-02-01 00:00:00+05:30,402,448.9,402,442.95,10811519
2021-02-02 00:00:00+05:30,447.05,475,434,439.1,10099741
2021-02-03 00:00:00+05:30,444.75,467.25,438.05,459.85,9972466
2021-02-04 00:00:00+05:30,463,471,457.8,464.4,4931739
2021-02-05 00:00:00+05:30,468,473.95,449.25,451.1,4324685
2021-02-08 00:00:00+05:30,455,468.55,454,460.6,2478180
2021-02-09 00:00:00+05:30,464,470.9,455,459.05,4083298
2021-02-10 00:00:00+05:30,460.1,470.9,454.5,467.75,4986969
2021-02-11 00:00:00+05:30,469.95,478.5,464.2,471.6,5781855
2021-02-12 00:00:00+05:30,471.7,477.8,465.35,468.55,2572633
2021-02-15 00:00:00+05:30,472.05,538,472.05,532.75,31359318
2021-02-16 00:00:00+05:30,528.5,537,517.05,528.05,10486006
2021-02-17 00:00:00+05:30,522.1,533.8,522.1,528,3658655
2021-02-18 00:00:00+05:30,530,536.55,526.1,527.7,5128060
2021-02-19 00:00:00+05:30,526.8,535.6,517.8,530.35,8654199
2021-02-22 00:00:00+05:30,534.4,550.95,519,528.65,16351139
2021-02-23 00:00:00+05:30,526.45,538,510.65,517.8,5512994
2021-02-24 00:00:00+05:30,519.95,522.15,487.35,504.5,5523946
2021-02-25 00:00:00+05:30,511,538,510,526.05,6224603
2021-02-26 00:00:00+05:30,513.05,523,500.1,518.9,4171821
2021-03-01 00:00:00+05:30,524.5,558,519.5,522.3,8234542
2021-03-02 00:00:00+05:30,527.8,539.95,523.8,538.55,3164565
2021-03-03 00:00:00+05:30,542.6,551.8,534,540.65,3014438
2021-03-04 00:00:00+05:30,537,546.55,533.15,535.1,2756879
2021-03-05 00:00:00+05:30,533.9,533.9,515.65,526.8,2704745
2021-03-08 00:00:00+05:30,532,539.3,526.55,534.15,3061065
2021-03-09 00:00:00+05:30,536.55,548.9,525,544.4,4781356
2021-03-10 00:00:00+05:30,549.9,556.8,530.05,539.4,5035581
2021-03-12 00:00:00+05:30,544.3,549.9,529.4,531.8,2659575
2021-03-15 00:00:00+05:30,536,537.85,514.05,534.95,3189930
2021-03-16 00:00:00+05:30,537.95,544.35,530.2,540.65,3577095
2021-03-17 00:00:00+05:30,541.9,544.05,526.05,529.6,2235033
2021-03-18 00:00:00+05:30,534.5,539.95,516.4,527.65,2318387
2021-03-19 00:00:00+05:30,525.05,558.95,518.5,552.85,6000233
2021-03-22 00:00:00+05:30,558,579.6,545.05,570.4,9087183
2021-03-23 00:00:00+05:30,571.65,574.8,556.45,559.7,3437253
2021-03-24 00:00:00+05:30,551.8,569.45,545.4,548.5,3517690
