date,open,high,low,close,volume
2021-02-25 00:00:00+05:30,100.15,100.15,100.15,100.15,7795
2021-02-26 00:00:00+05:30,105.15,105.15,103.15,105.15,391606
2021-03-01 00:00:00+05:30,109,109,99.9,99.9,373791
2021-03-02 00:00:00+05:30,99,99.25,94.95,95.05,95449
2021-03-03 00:00:00+05:30,91.35,94.9,91.25,93.05,76719
2021-03-04 00:00:00+05:30,91,92,88.4,88.4,237686
2021-03-05 00:00:00+05:30,88.4,92.5,87,87.95,110872
2021-03-08 00:00:00+05:30,90.7,90.7,86.55,87.1,81845
2021-03-09 00:00:00+05:30,87,90.65,85.55,89,130629
2021-03-10 00:00:00+05:30,91.45,92.2,79.15,80.2,444321
2021-03-12 00:00:00+05:30,82,86.55,77.75,79.35,258438
2021-03-15 00:00:00+05:30,81.95,81.95,76.55,77.1,119498
2021-03-16 00:00:00+05:30,77.8,78.15,73.8,76.25,156508
2021-03-17 00:00:00+05:30,78.25,78.25,72,72.8,159252
2021-03-18 00:00:00+05:30,74.5,75.4,71.5,72.3,141935
2021-03-19 00:00:00+05:30,72.7,72.7,68.45,69.6,155848
2021-03-22 00:00:00+05:30,69.6,72.15,69.6,71.2,105727
2021-03-23 00:00:00+05:30,71.35,71.9,70.75,71.25,26141
2021-03-24 00:00:00+05:30,71.5,72.4,69.9,70.1,34565
2021-03-25 00:00:00+05:30,70.4,70.9,67.5,69.8,64420
2021-03-26 00:00:00+05:30,69.05,71.25,69,69.35,64478
2021-03-30 00:00:00+05:30,69.75,70.5,68.3,69,30849
2021-03-31 00:00:00+05:30,69.05,70,68.5,68.85,23758
2021-04-01 00:00:00+05:30,69.95,76.4,69.35,75.75,408648
2021-04-05 00:00:00+05:30,76.3,76.3,72.1,72.5,103736
2021-04-06 00:00:00+05:30,72.3,72.75,71.55,72.15,21190
2021-04-07 00:00:00+05:30,73.6,73.6,71.55,71.75,40812
2021-04-08 00:00:00+05:30,72.25,73.5,71.55,72.65,35054
2021-04-09 00:00:00+05:30,72.35,72.55,70.7,71.15,86959
2021-04-12 00:00:00+05:30,70,70.55,66.8,67.3,53929
2021-04-13 00:00:00+05:30,69.4,69.6,67.1,67.75,29693
2021-04-15 00:00:00+05:30,67.8,69.3,67.05,67.85,24383
2021-04-16 00:00:00+05:30,69.8,74.4,68.05,73.55,292623
2021-04-19 00:00:00+05:30,70.25,71.85,69.05,70.15,59307
2021-04-20 00:00:00+05:30,70.9,71.5,67.35,67.95,57548
2021-04-22 00:00:00+05:30,68.75,70.45,67.2,69.7,22946
2021-04-23 00:00:00+05:30,68.9,70.35,68.4,69.1,18629
2021-04-26 00:00:00+05:30,70.4,70.7,69.5,70,9799
2021-04-27 00:00:00+05:30,70,70.3,69.3,69.6,33991
2021-04-28 00:00:00+05:30,70.45,70.45,68.5,69.05,32886
2021-04-29 00:00:00+05:30,69.4,70,67.95,69.15,38337
2021-04-30 00:00:00+05:30,68.9,70.4,68.45,68.65,23256
2021-05-03 00:00:00+05:30,70,70,68.2,68.5,16015
