date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,119.25,120.85,119.25,120.1,620762
2021-01-04 00:00:00+05:30,122,124.5,120.3,122.85,2373579
2021-01-05 00:00:00+05:30,120.9,126,120,124.8,2415344
2021-01-06 00:00:00+05:30,125.5,126.5,122,124,1954098
2021-01-07 00:00:00+05:30,125.1,125.85,122,122.6,1641004
2021-01-08 00:00:00+05:30,124.1,124.55,120,120.85,1433589
2021-01-11 00:00:00+05:30,122.1,122.95,118.9,119.6,1382955
2021-01-12 00:00:00+05:30,119,123.45,116.65,121.8,1719254
2021-01-13 00:00:00+05:30,122.6,123.35,118.3,120.8,1240036
2021-01-14 00:00:00+05:30,120.5,121.9,119.1,119.45,994087
2021-01-15 00:00:00+05:30,119.4,120.65,117.25,117.75,1001039
2021-01-18 00:00:00+05:30,117.9,119.1,114.1,115.55,1244131
2021-01-19 00:00:00+05:30,116.9,119.4,116.85,118.6,918674
2021-01-20 00:00:00+05:30,119.35,121.55,117.95,120.3,833960
2021-01-21 00:00:00+05:30,121.5,121.65,117.5,117.75,1545022
2021-01-22 00:00:00+05:30,117.2,118.35,114.05,115.9,789003
2021-01-25 00:00:00+05:30,117.5,119.9,113.75,114.35,1600044
2021-01-27 00:00:00+05:30,114.7,115.25,108.25,108.95,1705359
2021-01-28 00:00:00+05:30,109,109.4,99.05,103.95,5751034
2021-01-29 00:00:00+05:30,107.85,107.85,99.6,100.3,6248131
2021-02-01 00:00:00+05:30,101.1,109.15,100,107.9,4921643
2021-02-02 00:00:00+05:30,110.9,115.9,110,115.1,4234309
2021-02-03 00:00:00+05:30,115.75,117,112.6,115.05,2108549
2021-02-04 00:00:00+05:30,116,118,113.25,116.25,1450365
2021-02-05 00:00:00+05:30,116.8,122.35,114.25,115.5,3079415
2021-02-08 00:00:00+05:30,116.05,117.1,113.7,113.85,1186304
2021-02-09 00:00:00+05:30,112,112.25,107.6,108.4,2831374
2021-02-10 00:00:00+05:30,108.7,109.7,107.65,108.85,1148777
2021-02-11 00:00:00+05:30,108.65,114.1,108.1,112.35,1464742
2021-02-12 00:00:00+05:30,113.5,113.5,108.95,110,1282889
2021-02-15 00:00:00+05:30,110.05,115,110.05,114.65,2238814
2021-02-16 00:00:00+05:30,115.3,116.25,113.3,114.55,2031457
2021-02-17 00:00:00+05:30,114.35,117,113.35,115.25,1875026
2021-02-18 00:00:00+05:30,115.95,120.9,115.2,116.25,3518812
2021-02-19 00:00:00+05:30,116.9,118.4,113.5,115,1342823
2021-02-22 00:00:00+05:30,113.5,113.8,110.35,111.6,1591471
2021-02-23 00:00:00+05:30,111.15,112.75,110.55,111.65,875306
2021-02-24 00:00:00+05:30,112,116.25,110.1,114.65,848302
2021-02-25 00:00:00+05:30,116,118.9,115.5,117.8,2344006
2021-02-26 00:00:00+05:30,115,119,112.55,116.4,1793980
2021-03-01 00:00:00+05:30,118.4,118.4,115.1,116.1,978020
2021-03-02 00:00:00+05:30,116.6,117,114,114.45,833614
2021-03-03 00:00:00+05:30,115,117.5,114.05,114.65,2992994
2021-03-04 00:00:00+05:30,114,117.4,113.3,115.5,1343103
2021-03-05 00:00:00+05:30,115.45,116.75,110,114.25,6332447
2021-03-08 00:00:00+05:30,116.05,119.7,115.15,115.6,3219540
