date,open,high,low,close,volume
2021-03-25 00:00:00+05:30,155.5,174.6,143.25,164.45,68702462
2021-03-26 00:00:00+05:30,173.45,194.4,172,186.6,30116742
2021-03-30 00:00:00+05:30,190.3,191.95,171.1,175.05,8839565
2021-03-31 00:00:00+05:30,171.1,179.5,170.95,174.5,3073842
2021-04-01 00:00:00+05:30,176.8,186.8,171.45,180.85,4813541
2021-04-05 00:00:00+05:30,180,181.8,171.5,172.9,2183243
2021-04-06 00:00:00+05:30,174.7,194,172.45,190.05,8544662
2021-04-07 00:00:00+05:30,194.4,209,192.1,200.25,10435919
2021-04-08 00:00:00+05:30,202.95,206.5,197.25,198.95,3082469
2021-04-09 00:00:00+05:30,198.75,202.85,192.3,194,1879182
2021-04-12 00:00:00+05:30,186,187.85,175.65,181.25,2826111
2021-04-13 00:00:00+05:30,184,192,182.55,188.25,1869384
2021-04-15 00:00:00+05:30,190.5,195.6,183.55,191.6,2358127
2021-04-16 00:00:00+05:30,193.1,196,190,190.9,1664641
2021-04-19 00:00:00+05:30,185,187,182.3,185.45,1217314
2021-04-20 00:00:00+05:30,188.45,192.4,184,185.9,1085709
2021-04-22 00:00:00+05:30,184.95,186.75,181.25,182.05,1877354
2021-04-23 00:00:00+05:30,181.8,184.2,178.2,179.2,1699072
2021-04-26 00:00:00+05:30,181,193.6,178.45,191.45,3975987
2021-04-27 00:00:00+05:30,192.9,199.75,191.05,195.05,3198829
2021-04-28 00:00:00+05:30,196.6,214.4,196.05,210.05,10206205
2021-04-29 00:00:00+05:30,212,217.9,208.25,209.6,3930863
2021-04-30 00:00:00+05:30,206,215,204.5,207.85,2343085
2021-05-03 00:00:00+05:30,205.4,214.85,205.05,212.05,2427377
2021-05-04 00:00:00+05:30,214,237.85,214,219.45,12347178
2021-05-05 00:00:00+05:30,222.7,227.5,219.2,223.25,2918280
2021-05-06 00:00:00+05:30,224.9,226,219.1,220.65,1393465
2021-05-07 00:00:00+05:30,223,225.7,218.25,219.5,2054047
2021-05-10 00:00:00+05:30,221.7,231.5,219.25,226.15,3030801
2021-05-11 00:00:00+05:30,224,233.7,223.2,227.8,3580372
2021-05-12 00:00:00+05:30,228.7,229.6,220.95,222.5,1720426
2021-05-14 00:00:00+05:30,224.4,226.95,218.05,219,1778998
2021-05-17 00:00:00+05:30,221.9,222.5,216,217.8,1534784
2021-05-18 00:00:00+05:30,218.1,223.5,218,219.95,1431495
2021-05-19 00:00:00+05:30,221.5,225.8,218.55,219.2,1894146
2021-05-20 00:00:00+05:30,220.85,222,216.35,217.9,1197762
2021-05-21 00:00:00+05:30,220,234.65,218.8,224.95,5272118
2021-05-24 00:00:00+05:30,226.95,239.9,225.5,237.75,6644500
2021-05-25 00:00:00+05:30,242,244.7,228.6,233.6,4549830
2021-05-26 00:00:00+05:30,228,230.7,221.5,223.9,3622399
2021-05-27 00:00:00+05:30,226,228.9,222.3,223.55,1844491
2021-05-28 00:00:00+05:30,223.05,225,219,219.35,1511487
2021-05-31 00:00:00+05:30,219.6,231.95,219.6,227.5,4614607
2021-06-01 00:00:00+05:30,228.9,229.5,222,223.65,1094653
2021-06-02 00:00:00+05:30,223,226.5,221.1,223.7,1524542
2021-06-03 00:00:00+05:30,225,225.45,222.2,222.7,884388
2021-06-04 00:00:00+05:30,223.7,223.85,220.3,221,1016541
2021-06-07 00:00:00+05:30,222.3,225.7,221,222.65,1499707
2021-06-08 00:00:00+05:30,222.9,230.3,220.2,226.55,2738382
2021-06-09 00:00:00+05:30,228.1,231,221,222.9,1800552
2021-06-10 00:00:00+05:30,223.5,225.9,221.6,222.15,962157
2021-06-11 00:00:00+05:30,223.4,228.1,222.35,224.7,2703801
2021-06-14 00:00:00+05:30,227,227.65,217.5,220.15,1593610
2021-06-15 00:00:00+05:30,221.9,230.8,219.7,224.95,4049111
2021-06-16 00:00:00+05:30,226.45,236,226,230.85,6166368
2021-06-17 00:00:00+05:30,228.5,235.45,226.1,229.55,2939279
2021-06-18 00:00:00+05:30,231.4,232.15,212.7,225.65,2433154
2021-06-21 00:00:00+05:30,221,226.7,220.2,224.65,1393725
2021-06-22 00:00:00+05:30,226,230,222.25,223.55,1377978
2021-06-23 00:00:00+05:30,224.2,225.45,221.1,222.1,712705
2021-06-24 00:00:00+05:30,223.6,223.75,219.75,220.75,877329
2021-06-25 00:00:00+05:30,222,226.7,221.1,222.8,887764
2021-06-28 00:00:00+05:30,223.8,224,221.45,221.8,596107
2021-06-29 00:00:00+05:30,222,223.4,220.55,221.25,599382
2021-06-30 00:00:00+05:30,221.9,226.25,219.6,220.35,1143861
2021-07-01 00:00:00+05:30,221.95,235.8,221.1,230.45,2737049
2021-07-02 00:00:00+05:30,238,250.7,236,240.7,10929617
2021-07-05 00:00:00+05:30,242.3,257.9,241.15,255.4,5821409
2021-07-06 00:00:00+05:30,256.7,258.4,245.5,247.65,3245910
2021-07-07 00:00:00+05:30,247.7,263.8,246.05,259.4,5607546
2021-07-08 00:00:00+05:30,260.45,262,251.1,256.65,1903964
2021-07-09 00:00:00+05:30,256.4,270.5,253.5,264.5,5208269
2021-07-12 00:00:00+05:30,267,272.7,263.2,267.9,2553254
2021-07-13 00:00:00+05:30,270.35,272,264,265.45,1431594
2021-07-14 00:00:00+05:30,265.1,273.4,264.05,268.8,1954254
2021-07-15 00:00:00+05:30,270,271.95,265,266.8,1287218
2021-07-16 00:00:00+05:30,267,268.9,261,262.35,1207327
2021-07-19 00:00:00+05:30,259.9,263.6,257,258.65,1546544
2021-07-20 00:00:00+05:30,257.95,259.45,249.5,253,1391578
2021-07-22 00:00:00+05:30,254.9,267.75,254.55,261.2,2545937
2021-07-23 00:00:00+05:30,263.6,274.45,261.15,272.65,3393604
2021-07-26 00:00:00+05:30,266,266,251.85,257.1,3098406
