date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,87.5,88.5,86.6,87.55,539392
2021-01-04 00:00:00+05:30,88.3,91,87.3,89.1,1214795
2021-01-05 00:00:00+05:30,88.5,90.5,87.2,89.15,657066
2021-01-06 00:00:00+05:30,89.15,90.25,83.8,87.85,598495
2021-01-07 00:00:00+05:30,88.55,91.2,88.15,89.3,1148603
2021-01-08 00:00:00+05:30,90,90.8,88.05,89,753812
2021-01-11 00:00:00+05:30,89.3,89.3,84,85.45,811956
2021-01-12 00:00:00+05:30,85.5,87.2,85.5,86.05,501647
2021-01-13 00:00:00+05:30,87,87.55,85.5,86.6,285559
2021-01-14 00:00:00+05:30,86.6,87.2,84.4,84.8,403696
2021-01-15 00:00:00+05:30,85.8,85.95,81.2,82.05,722174
2021-01-18 00:00:00+05:30,83.9,83.9,79,80.8,336089
2021-01-19 00:00:00+05:30,82.9,83.7,80.8,82.9,223307
2021-01-20 00:00:00+05:30,82.7,84.5,82.3,83.35,345374
2021-01-21 00:00:00+05:30,84.5,85,82.6,83.3,260345
2021-01-22 00:00:00+05:30,83.9,84.35,80.45,81.7,259168
2021-01-25 00:00:00+05:30,83.9,84.9,80.25,82.9,846127
2021-01-27 00:00:00+05:30,82.5,84.5,78.55,80.2,813542
2021-01-28 00:00:00+05:30,80,83.7,79.4,82.45,310273
2021-01-29 00:00:00+05:30,85,87,83.6,84.55,1299197
2021-02-01 00:00:00+05:30,86.95,88,83,86.95,709443
2021-02-02 00:00:00+05:30,88.9,94.75,87.4,93.35,3029698
2021-02-03 00:00:00+05:30,94.3,95.25,91.1,91.5,1034721
2021-02-04 00:00:00+05:30,92.2,95.85,91.5,94.75,1030999
2021-02-05 00:00:00+05:30,95.1,95.45,91.7,92.5,563162
2021-02-08 00:00:00+05:30,93,94.2,92.1,93.25,407137
2021-02-09 00:00:00+05:30,93.05,93.45,90,90.55,375735
2021-02-10 00:00:00+05:30,90.55,92,88.25,89.95,475880
2021-02-11 00:00:00+05:30,89.95,91.35,89.2,89.75,295371
2021-02-12 00:00:00+05:30,90.15,91.5,87.5,88.3,450151
2021-02-15 00:00:00+05:30,88.3,95.6,88.3,94.85,2226036
2021-02-16 00:00:00+05:30,95.5,99.5,95.45,96,1672356
2021-02-17 00:00:00+05:30,95.4,98.65,95.2,96.05,646555
2021-02-18 00:00:00+05:30,95.6,96.4,92.3,93.5,725527
2021-02-19 00:00:00+05:30,93.5,94.8,89.7,91.85,488524
2021-02-22 00:00:00+05:30,91.5,93,89,89.9,372305
2021-02-23 00:00:00+05:30,90.4,92.65,89.95,90.7,215935
2021-02-24 00:00:00+05:30,91.15,92.5,90,91.65,115391
2021-02-25 00:00:00+05:30,92.2,95.8,92.2,94.25,742703
2021-02-26 00:00:00+05:30,94,94.5,91.1,91.8,934543
2021-03-01 00:00:00+05:30,93,96.5,92.5,94.4,662688
2021-03-02 00:00:00+05:30,95.4,98,95.05,96.3,752165
2021-03-03 00:00:00+05:30,97.5,100.5,97.5,99.85,1142783
2021-03-04 00:00:00+05:30,98.9,113.5,97.45,110.5,4782275
2021-03-05 00:00:00+05:30,111.5,114,103.5,104.25,2014990
2021-03-08 00:00:00+05:30,105.5,107.45,103,103.9,469404
