date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,36.15,39,36,38.7,123660698
2021-01-04 00:00:00+05:30,39.3,40.85,38.75,40.65,138885188
2021-01-05 00:00:00+05:30,40.25,40.65,39.6,40.15,68178443
2021-01-06 00:00:00+05:30,40.35,40.65,38.25,39.4,78478570
2021-01-07 00:00:00+05:30,39.8,40.15,39.1,39.3,42199800
2021-01-08 00:00:00+05:30,39.65,40.55,39,39.35,68394773
2021-01-11 00:00:00+05:30,39.75,40,38.3,39,46504882
2021-01-12 00:00:00+05:30,39,40,38.6,39.35,37860013
2021-01-13 00:00:00+05:30,39.65,42.3,39.65,40.75,154573968
2021-01-14 00:00:00+05:30,40.4,40.7,39.6,40.2,34995707
2021-01-15 00:00:00+05:30,40.2,40.5,38.85,39.4,37081742
2021-01-18 00:00:00+05:30,39.4,39.6,37.25,38.05,38159244
2021-01-19 00:00:00+05:30,38.1,40,38.1,39.75,29092687
2021-01-20 00:00:00+05:30,39.7,40.7,39.4,40.5,40633278
2021-01-21 00:00:00+05:30,41,41.25,38.5,38.75,56574146
2021-01-22 00:00:00+05:30,38.5,39.3,37.1,37.65,58968250
2021-01-25 00:00:00+05:30,37.75,38.25,36,36.25,51673382
2021-01-27 00:00:00+05:30,35.85,36.2,35.4,35.7,38751487
2021-01-28 00:00:00+05:30,35.35,36.8,35.1,36.6,48537154
2021-01-29 00:00:00+05:30,37,37.5,35.8,36.05,52158893
2021-02-01 00:00:00+05:30,36.5,38.45,35.4,38.2,51185628
2021-02-02 00:00:00+05:30,38.65,39.95,38.05,38.9,57099937
2021-02-03 00:00:00+05:30,39.15,41.35,39.1,39.7,104638908
2021-02-04 00:00:00+05:30,39.9,42.5,39.6,42.2,154097676
2021-02-05 00:00:00+05:30,42.65,44.15,41.25,43.55,146833328
2021-02-08 00:00:00+05:30,41.25,41.5,39.55,39.85,114554488
2021-02-09 00:00:00+05:30,39.6,39.75,38.4,38.75,49601029
2021-02-10 00:00:00+05:30,38.65,39.4,37.8,38.25,38714221
2021-02-11 00:00:00+05:30,38.45,39.15,38.15,38.75,33240680
2021-02-12 00:00:00+05:30,38.95,39.45,38.6,38.8,24770265
2021-02-15 00:00:00+05:30,39.05,39.45,38.6,38.9,19106327
2021-02-16 00:00:00+05:30,39.05,40,38.4,39.9,46759963
2021-02-17 00:00:00+05:30,40,40.8,39.1,40.05,71963620
2021-02-18 00:00:00+05:30,40.2,44.05,39.95,43,166636643
2021-02-19 00:00:00+05:30,42.75,43.25,39.6,40.4,74472617
2021-02-22 00:00:00+05:30,40.1,40.55,39.1,39.65,38769981
2021-02-23 00:00:00+05:30,39.9,41.45,39.5,40.7,43031158
2021-02-24 00:00:00+05:30,41.2,43.35,36.65,42.95,61230344
2021-02-25 00:00:00+05:30,43.55,48,43.4,47.15,328616125
2021-02-26 00:00:00+05:30,46,48.8,45.35,47.6,206095365
2021-03-01 00:00:00+05:30,48.7,49.6,47.6,48.8,123674746
2021-03-02 00:00:00+05:30,49.4,52.2,49.25,51.75,152393453
2021-03-03 00:00:00+05:30,52.2,52.65,50.6,51,65329850
2021-03-04 00:00:00+05:30,50.35,56.1,49.9,54.25,213396105
