date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,223.25,233,223.25,231.5,105885
2021-01-04 00:00:00+05:30,232.95,236.9,227.6,235.95,196437
2021-01-05 00:00:00+05:30,233,243,221.8,241.6,273221
2021-01-06 00:00:00+05:30,242.75,244.7,235.9,240.55,181880
2021-01-07 00:00:00+05:30,240.6,241.8,235.1,240.05,172487
2021-01-08 00:00:00+05:30,242.5,248.95,232,236,734154
2021-01-11 00:00:00+05:30,238,243.5,238,241.2,290913
2021-01-12 00:00:00+05:30,242.45,242.45,234.5,236.75,510239
2021-01-13 00:00:00+05:30,237.85,241.1,231.5,233.55,211271
2021-01-14 00:00:00+05:30,234.3,238.8,225.05,226.3,588146
2021-01-15 00:00:00+05:30,227.1,238.9,227.1,232.55,453489
2021-01-18 00:00:00+05:30,234.85,238,225.95,228.1,1502048
2021-01-19 00:00:00+05:30,231,237.65,229.05,229.85,358525
2021-01-20 00:00:00+05:30,230.9,233.85,228.25,229.7,265719
2021-01-21 00:00:00+05:30,234,247.5,234,238.9,1603348
2021-01-22 00:00:00+05:30,241.9,261,240.5,256.65,1163406
2021-01-25 00:00:00+05:30,261,264.9,240,243.7,579801
2021-01-27 00:00:00+05:30,243.65,251,239.35,244.45,200978
2021-01-28 00:00:00+05:30,240.25,254,239,245.2,240680
2021-01-29 00:00:00+05:30,246.9,258,246.8,253.55,380076
2021-02-01 00:00:00+05:30,270,279,258.05,271.15,1294357
2021-02-02 00:00:00+05:30,287.7,287.7,266.85,273.75,927554
2021-02-03 00:00:00+05:30,275,282.75,271,275.3,821903
2021-02-04 00:00:00+05:30,275.9,296.6,274.45,282.75,897790
2021-02-05 00:00:00+05:30,284.7,295,278,279.8,419170
2021-02-08 00:00:00+05:30,284,287,278.05,279.9,443397
2021-02-09 00:00:00+05:30,281.7,288.5,276,282.55,309364
2021-02-10 00:00:00+05:30,284.7,287,275.05,279.9,316542
2021-02-11 00:00:00+05:30,277,280.8,273,275,212984
2021-02-12 00:00:00+05:30,279,282.5,271.9,274.5,396379
2021-02-15 00:00:00+05:30,277,295.1,277,283.6,453562
2021-02-16 00:00:00+05:30,285.75,293.6,274.05,281.85,396751
2021-02-17 00:00:00+05:30,281.7,284.9,267.65,270.9,399061
2021-02-18 00:00:00+05:30,271,279.9,264.05,267.45,549505
2021-02-19 00:00:00+05:30,267.15,277,264.45,269.45,263482
2021-02-22 00:00:00+05:30,270.05,273.7,266,268.4,139560
2021-02-23 00:00:00+05:30,270.7,273.95,265.5,267.55,190953
2021-02-24 00:00:00+05:30,267.8,271.95,265.8,267.7,81298
2021-02-25 00:00:00+05:30,269.6,275.6,268.15,268.95,261875
2021-02-26 00:00:00+05:30,268.3,273.95,266,270.65,296552
2021-03-01 00:00:00+05:30,272.1,277,269,271.6,225232
