date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,37.05,37.6,36.85,37.4,12858049
2021-01-04 00:00:00+05:30,37.95,39.15,37.7,38.6,48722834
2021-01-05 00:00:00+05:30,38.25,39.95,37.9,39.7,54314659
2021-01-06 00:00:00+05:30,39.75,42.85,38.5,41.4,80681106
2021-01-07 00:00:00+05:30,43.5,47.6,42.4,45.8,201972764
2021-01-08 00:00:00+05:30,46.8,46.95,43.85,44.4,74289673
2021-01-11 00:00:00+05:30,44.75,45.1,43.25,44.45,39358606
2021-01-12 00:00:00+05:30,44,48.45,43.5,47.15,90521255
2021-01-13 00:00:00+05:30,47.75,47.8,45.15,46.05,56558691
2021-01-14 00:00:00+05:30,46.25,47.35,45.8,46.25,29310346
2021-01-15 00:00:00+05:30,46.4,49.55,45.85,48.45,99486620
2021-01-18 00:00:00+05:30,48.65,48.75,45.8,46.65,51656962
2021-01-19 00:00:00+05:30,47.1,50.7,47.1,50.15,72082670
2021-01-20 00:00:00+05:30,50.75,52.45,49.45,51.45,98044307
2021-01-21 00:00:00+05:30,51.95,52,48.8,49.7,55907468
2021-01-22 00:00:00+05:30,50,50.75,48.3,49.5,55567022
2021-01-25 00:00:00+05:30,50.3,50.65,47.55,48.05,37299052
2021-01-27 00:00:00+05:30,48,49.2,46.9,47.8,37095806
2021-01-28 00:00:00+05:30,47.1,49.15,46.95,47.9,50095946
2021-01-29 00:00:00+05:30,48.5,49.3,46.95,47.2,42499626
2021-02-01 00:00:00+05:30,45.8,47.15,43.75,46.6,91266329
2021-02-02 00:00:00+05:30,47.15,48.95,46.55,47.7,56064941
2021-02-03 00:00:00+05:30,48.2,48.3,47.1,47.65,28568238
2021-02-04 00:00:00+05:30,47.7,49.5,47.35,49.05,41320998
2021-02-05 00:00:00+05:30,49.5,50.8,48.05,48.3,61029118
2021-02-08 00:00:00+05:30,48.95,49.4,48.6,49.15,25004704
2021-02-09 00:00:00+05:30,49.4,52.2,48.3,50,79600142
2021-02-10 00:00:00+05:30,50.45,51,49.5,50.55,39925669
2021-02-11 00:00:00+05:30,50.6,53,50.1,52.55,68713073
2021-02-12 00:00:00+05:30,52.85,52.95,51.45,52.1,45538017
2021-02-15 00:00:00+05:30,52.6,54.5,52,54.1,63488266
2021-02-16 00:00:00+05:30,54.45,54.6,52.7,53.85,46908035
2021-02-17 00:00:00+05:30,53.8,57.5,52.9,56.4,84077529
2021-02-18 00:00:00+05:30,56.8,58.9,55.9,58.1,64960498
2021-02-19 00:00:00+05:30,58.5,66.8,57.6,62.4,261417989
2021-02-22 00:00:00+05:30,63,63.85,60.7,61.5,105148761
2021-02-23 00:00:00+05:30,61.4,63.35,61.1,61.4,61275241
2021-02-24 00:00:00+05:30,61.8,64.35,61.3,63.8,39413798
2021-02-25 00:00:00+05:30,64.95,65.8,64.4,64.7,70565771
2021-02-26 00:00:00+05:30,63.5,64.4,62.4,63.45,53553669
2021-03-01 00:00:00+05:30,64.35,64.5,62.7,63.45,33031626
2021-03-02 00:00:00+05:30,63.75,65.1,63.4,64.5,39385820
2021-03-03 00:00:00+05:30,64.8,68.15,64.5,67.1,65259145
2021-03-04 00:00:00+05:30,65.95,69.3,65.6,68.2,55584200
2021-03-05 00:00:00+05:30,68,68.85,65.95,66.8,55030398
2021-03-08 00:00:00+05:30,67.4,68.7,67,67.25,32067602
2021-03-09 00:00:00+05:30,67.75,68.35,65.6,66.65,27400447
2021-03-10 00:00:00+05:30,67.25,67.7,66.35,66.85,22266796
2021-03-12 00:00:00+05:30,67.3,68.1,65.3,66.95,33728099
2021-03-15 00:00:00+05:30,67.2,67.3,63.7,65.25,37011774
2021-03-16 00:00:00+05:30,65.75,65.85,63.05,63.4,31183061
2021-03-17 00:00:00+05:30,63.35,63.7,60.65,60.9,32300124
2021-03-18 00:00:00+05:30,61.5,62.35,58.45,59.4,43275173
2021-03-19 00:00:00+05:30,58,60.75,56,60.35,65794214
2021-03-22 00:00:00+05:30,60.05,61.1,58.75,59.45,37193196
2021-03-23 00:00:00+05:30,59.75,61.7,59.5,61.35,38827727
2021-03-24 00:00:00+05:30,60.6,61.25,58.5,58.75,37223856
2021-03-25 00:00:00+05:30,58.7,58.75,56,57.2,49179913
2021-03-26 00:00:00+05:30,58,59.2,57.35,57.7,30706356
2021-03-30 00:00:00+05:30,58.35,60,58,58.25,38680457
2021-03-31 00:00:00+05:30,59.5,59.6,55.3,55.7,68707873
2021-04-01 00:00:00+05:30,56.2,57.85,56.15,57.05,49970187
2021-04-05 00:00:00+05:30,57,57,53.75,54.3,48364592
2021-04-06 00:00:00+05:30,54.75,55.5,53.85,55.3,39222862
2021-04-07 00:00:00+05:30,55.5,58.1,55.1,57.8,55841387
2021-04-08 00:00:00+05:30,58.3,58.35,57.1,57.45,55092435
2021-04-09 00:00:00+05:30,56.55,57.3,55.5,55.8,77981063
2021-04-12 00:00:00+05:30,53,53.9,47.5,50.55,86053992
2021-04-13 00:00:00+05:30,51.15,54.4,50.9,54.05,62994327
2021-04-15 00:00:00+05:30,53,54.1,51.5,52.45,54496776
2021-04-16 00:00:00+05:30,52.8,54.35,52.45,53.65,52746258
2021-04-19 00:00:00+05:30,50,51.15,49.4,50.7,56663464
2021-04-20 00:00:00+05:30,51.9,52.4,50.2,50.65,35191058
2021-04-22 00:00:00+05:30,50,51.4,49.15,51.2,36063732
2021-04-23 00:00:00+05:30,50.7,52.75,50.5,51.1,43148063
2021-04-26 00:00:00+05:30,51.9,52.75,51.6,52.25,36590967
2021-04-27 00:00:00+05:30,52.6,53.5,52.35,53.35,29330756
2021-04-28 00:00:00+05:30,53.8,54.95,53.55,54.65,33115115
2021-04-29 00:00:00+05:30,55.3,55.6,53.85,54.8,42609774
2021-04-30 00:00:00+05:30,54,55.55,53.6,54.7,35247446
2021-05-03 00:00:00+05:30,54.2,54.75,53,54,32646264
2021-05-04 00:00:00+05:30,54.55,57.45,54.35,55.75,64253913
2021-05-05 00:00:00+05:30,56.35,56.9,55.7,56.2,29480874
