date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,13.9,14.2,13.85,14.1,4839044
2021-01-04 00:00:00+05:30,14.3,14.5,14.05,14.15,5112472
2021-01-05 00:00:00+05:30,14.1,14.15,13.85,14.1,4650787
2021-01-06 00:00:00+05:30,14.1,14.2,13.9,14,5126864
2021-01-07 00:00:00+05:30,14.1,14.2,14,14.05,3606445
2021-01-08 00:00:00+05:30,14.15,14.25,13.95,14,6179497
2021-01-11 00:00:00+05:30,14.1,14.15,13.8,13.85,3055201
2021-01-12 00:00:00+05:30,13.9,14.7,13.7,14.55,12270276
2021-01-13 00:00:00+05:30,14.7,14.75,14.2,14.45,8552956
2021-01-14 00:00:00+05:30,14.5,14.5,13.9,14,6174154
2021-01-15 00:00:00+05:30,13.95,14.1,13.75,13.85,4514601
2021-01-18 00:00:00+05:30,13.85,13.95,13.6,13.7,2970615
2021-01-19 00:00:00+05:30,13.8,14.2,13.8,14,5309219
2021-01-20 00:00:00+05:30,14,14.45,14,14.4,7163486
2021-01-21 00:00:00+05:30,14.5,14.65,14,14.05,4937692
2021-01-22 00:00:00+05:30,14.05,14.1,13.75,13.8,2679533
2021-01-25 00:00:00+05:30,13.9,14.05,13.2,13.35,4425191
2021-01-27 00:00:00+05:30,13.35,13.45,12.65,12.7,8857745
2021-01-28 00:00:00+05:30,12.65,13.4,12.5,13.2,6429735
2021-01-29 00:00:00+05:30,13.55,13.7,13.3,13.55,4493626
2021-02-01 00:00:00+05:30,13.75,14.6,13.65,14.3,16425401
2021-02-02 00:00:00+05:30,14.5,14.6,14.05,14.1,6755995
2021-02-03 00:00:00+05:30,14.2,14.25,13.85,14.1,6816089
2021-02-04 00:00:00+05:30,14.1,14.45,14,14.4,8383613
2021-02-05 00:00:00+05:30,14.5,15.5,14.5,14.8,24930750
2021-02-08 00:00:00+05:30,15,15.25,14.8,14.85,8006934
2021-02-09 00:00:00+05:30,14.95,15.2,14.65,14.8,15516440
2021-02-10 00:00:00+05:30,14.8,15,14.25,14.3,9158687
2021-02-11 00:00:00+05:30,14.35,14.55,14.2,14.3,4007745
2021-02-12 00:00:00+05:30,14.35,14.4,14.05,14.05,4349657
2021-02-15 00:00:00+05:30,14.05,14.25,13.85,13.95,4474638
2021-02-16 00:00:00+05:30,15.8,16.7,15.3,16.7,181348035
2021-02-17 00:00:00+05:30,16.9,20,16.45,20,189819375
2021-02-18 00:00:00+05:30,22.8,24,21,24,140134113
2021-02-19 00:00:00+05:30,25,26.4,21.6,21.6,138045437
2021-02-22 00:00:00+05:30,20.15,20.45,19.45,19.45,62268656
2021-02-23 00:00:00+05:30,19,19.2,17.75,17.9,58882426
2021-02-24 00:00:00+05:30,17.95,18.75,17.9,18.75,25093439
2021-02-25 00:00:00+05:30,19.5,19.65,19.25,19.65,4460161
2021-02-26 00:00:00+05:30,19.5,20.4,18.8,19.25,33731628
