date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,235.35,243.45,233.85,241.2,579216
2021-01-04 00:00:00+05:30,241.5,247.5,241.5,243.45,303870
2021-01-05 00:00:00+05:30,241.4,246.45,239.25,242.15,229483
2021-01-06 00:00:00+05:30,243.5,246.9,235,239.8,542640
2021-01-07 00:00:00+05:30,244,253.15,241,250.9,973712
2021-01-08 00:00:00+05:30,252.9,255.6,247.05,251.9,467438
2021-01-11 00:00:00+05:30,251.7,263.5,244,261.2,701295
2021-01-12 00:00:00+05:30,263,275,262.6,270.7,1084294
2021-01-13 00:00:00+05:30,276,277.35,260,265.7,638079
2021-01-14 00:00:00+05:30,265.5,265.5,255.65,257.75,465940
2021-01-15 00:00:00+05:30,258.9,264.95,250.75,261.45,448927
2021-01-18 00:00:00+05:30,261.95,261.95,250,251.5,185804
2021-01-19 00:00:00+05:30,254.95,262,254.2,257.2,198576
2021-01-20 00:00:00+05:30,257.95,270.8,256.55,268,463067
2021-01-21 00:00:00+05:30,275.1,279,267.5,269.7,539757
2021-01-22 00:00:00+05:30,270.75,271.95,257.45,261.4,186088
2021-01-25 00:00:00+05:30,264.6,265.25,249.15,250.75,218056
2021-01-27 00:00:00+05:30,252,252,243.35,247.45,181576
2021-01-28 00:00:00+05:30,245.9,245.9,237,241.95,281839
2021-01-29 00:00:00+05:30,247.6,247.95,242.4,243.85,102317
2021-02-01 00:00:00+05:30,244.5,255,240.1,253.2,274599
2021-02-02 00:00:00+05:30,259,259.7,251.65,255.1,213019
2021-02-03 00:00:00+05:30,256,261.9,254,256.35,227174
2021-02-04 00:00:00+05:30,256,264.05,256,263.05,255705
2021-02-05 00:00:00+05:30,264.9,265.5,258.35,260.15,138468
2021-02-08 00:00:00+05:30,261.55,265.95,260.15,264,195127
2021-02-09 00:00:00+05:30,264,266.05,260,261.05,136889
2021-02-10 00:00:00+05:30,263.9,263.9,254.95,259.5,153823
2021-02-11 00:00:00+05:30,259.9,262.2,257.4,258.95,119997
2021-02-12 00:00:00+05:30,262,275.8,260.25,268.35,961676
2021-02-15 00:00:00+05:30,269.8,269.8,258,266.95,313820
2021-02-16 00:00:00+05:30,266.95,274.9,265,271,344788
2021-02-17 00:00:00+05:30,271,308.75,268.7,296.75,1739647
2021-02-18 00:00:00+05:30,301,356.1,300,356.1,2319717
2021-02-19 00:00:00+05:30,374,374,333.05,350.95,1957254
2021-02-22 00:00:00+05:30,345,350.85,321.65,330.35,525716
2021-02-23 00:00:00+05:30,328.1,352.75,326.05,340.7,412317
2021-02-24 00:00:00+05:30,343.35,354,340.7,347.6,193032
2021-02-25 00:00:00+05:30,348,353.8,343,347.35,238600
2021-02-26 00:00:00+05:30,342.55,342.55,330,333.3,213194
2021-03-01 00:00:00+05:30,335.9,348,330.2,335,198021
2021-03-02 00:00:00+05:30,336.5,341,322.7,329.45,164714
2021-03-03 00:00:00+05:30,333.7,335,317.5,324.25,377148
2021-03-04 00:00:00+05:30,320.25,338.9,320.25,335.3,308984
2021-03-05 00:00:00+05:30,335.3,378,333.7,337.15,235527
2021-03-08 00:00:00+05:30,337.15,342,328.1,329.65,130246
2021-03-09 00:00:00+05:30,331,341.55,328,335.75,128562
2021-03-10 00:00:00+05:30,338.45,350,334.2,344.05,181137
2021-03-12 00:00:00+05:30,344,355.55,335.25,347.35,415585
2021-03-15 00:00:00+05:30,350,355,340,346.2,129487
2021-03-16 00:00:00+05:30,344,345,335,336.95,56565
2021-03-17 00:00:00+05:30,339.7,340.15,318,322.25,100793
2021-03-18 00:00:00+05:30,332.9,332.9,308,309.6,115575
