date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,13.1,13.75,13.05,13.65,4802367
2021-01-04 00:00:00+05:30,13.9,14.1,13.4,13.7,3162749
2021-01-05 00:00:00+05:30,13.6,13.65,13.4,13.5,1868349
2021-01-06 00:00:00+05:30,13.5,13.7,13.2,13.35,2206217
2021-01-07 00:00:00+05:30,13.5,13.7,13.4,13.6,1648922
2021-01-08 00:00:00+05:30,13.6,14.5,13.5,14.15,7773954
2021-01-11 00:00:00+05:30,14.45,14.5,13.7,13.85,2672625
2021-01-12 00:00:00+05:30,13.85,15.5,13.7,14.8,13490861
2021-01-13 00:00:00+05:30,14.8,15.1,14.4,14.85,8870206
2021-01-14 00:00:00+05:30,14.7,15.15,14.5,14.75,4970653
2021-01-15 00:00:00+05:30,14.7,14.9,14.05,14.55,6273302
2021-01-18 00:00:00+05:30,14.85,15.15,14.55,14.75,7467317
2021-01-19 00:00:00+05:30,15,16.15,14.85,15.85,28865672
2021-01-20 00:00:00+05:30,16,16.45,15.8,16,14008130
2021-01-21 00:00:00+05:30,16.2,16.25,14.8,15,9149626
2021-01-22 00:00:00+05:30,15.1,15.25,14.25,14.45,4721420
2021-01-25 00:00:00+05:30,14.6,14.7,13.5,13.6,4821764
2021-01-27 00:00:00+05:30,13.95,14.25,13.65,13.95,4117171
2021-01-28 00:00:00+05:30,13.9,14.4,13.75,14.25,2830856
2021-01-29 00:00:00+05:30,14.4,15.45,14.25,14.95,8955288
2021-02-01 00:00:00+05:30,15.3,15.65,14.6,14.85,14297432
2021-02-02 00:00:00+05:30,15.2,15.6,14.95,15,6557268
2021-02-03 00:00:00+05:30,15.2,15.45,15.05,15.3,5815802
2021-02-04 00:00:00+05:30,15.5,16.25,15.35,16.05,13213509
2021-02-05 00:00:00+05:30,16.2,16.85,16.05,16.15,11760190
2021-02-08 00:00:00+05:30,16.45,16.7,16.15,16.35,4990529
2021-02-09 00:00:00+05:30,16.35,16.35,15.85,15.95,4628023
2021-02-10 00:00:00+05:30,16,16,15.3,15.4,3409503
2021-02-11 00:00:00+05:30,16.5,16.5,15.8,15.95,4638321
2021-02-12 00:00:00+05:30,15.9,16.1,15.7,15.8,2388673
2021-02-15 00:00:00+05:30,15.7,16.2,15.7,15.9,2994218
2021-02-16 00:00:00+05:30,18.3,19.05,17.65,19.05,20416812
2021-02-17 00:00:00+05:30,20.2,22.85,20,22.85,44706574
2021-02-18 00:00:00+05:30,25.1,25.1,25.1,25.1,3880084
2021-02-19 00:00:00+05:30,25.9,27.6,22.6,23.35,117066117
2021-02-22 00:00:00+05:30,23.3,23.5,21.05,21.75,35358274
2021-02-23 00:00:00+05:30,22.1,23.2,20.5,21.35,25982613
2021-02-24 00:00:00+05:30,22,23.45,21.95,23.45,20531292
2021-02-25 00:00:00+05:30,25.15,25.75,24.5,25.75,31066051
2021-02-26 00:00:00+05:30,24.5,25.45,23.7,24.1,28523644
2021-03-01 00:00:00+05:30,25.2,25.2,22.9,23.25,9700874
2021-03-02 00:00:00+05:30,23.55,23.7,22.8,23.05,7207808
2021-03-03 00:00:00+05:30,23.3,23.95,22.8,22.95,8406305
2021-03-04 00:00:00+05:30,22.85,23.15,22.05,22.2,7081295
2021-03-05 00:00:00+05:30,22.2,22.35,21.7,21.9,4197367
2021-03-08 00:00:00+05:30,23.75,24.05,23.1,24.05,23754112
2021-03-09 00:00:00+05:30,24.9,25.15,22.75,23,14896969
2021-03-10 00:00:00+05:30,23.5,23.75,22.9,23,5253068
2021-03-12 00:00:00+05:30,23.7,25.3,22.9,22.95,9019956
2021-03-15 00:00:00+05:30,23.3,23.35,21.9,22.15,6529999
2021-03-16 00:00:00+05:30,22.25,22.3,20.8,21.4,6933089
2021-03-17 00:00:00+05:30,21.55,21.8,20.45,20.55,4399506
2021-03-18 00:00:00+05:30,21,21.15,18.8,19.3,6707609
2021-03-19 00:00:00+05:30,19,19.65,18.1,18.95,8051730
2021-03-22 00:00:00+05:30,19.2,19.95,18.8,19.05,6058094
2021-03-23 00:00:00+05:30,19.7,20.95,19.2,20.95,17424016
2021-03-24 00:00:00+05:30,22.7,23,20.85,21.65,37769747
2021-03-25 00:00:00+05:30,21.95,22.25,19.6,20.85,13270081
2021-03-26 00:00:00+05:30,21.45,22,20.8,20.9,5670255
2021-03-30 00:00:00+05:30,21,21.2,20.15,20.75,4503030
2021-03-31 00:00:00+05:30,20.95,21.2,20.35,20.8,5212158
2021-04-01 00:00:00+05:30,21.3,21.95,21.05,21.45,7531269
2021-04-05 00:00:00+05:30,20.9,22,20.75,21.25,5849594
2021-04-06 00:00:00+05:30,21.4,21.45,20.9,21,3034615
2021-04-07 00:00:00+05:30,21,21.7,20.7,21.3,4645403
2021-04-08 00:00:00+05:30,21.7,21.85,21.15,21.2,3544390
2021-04-09 00:00:00+05:30,21.45,25.4,21.45,24.75,55300181
2021-04-12 00:00:00+05:30,23.8,24.25,22.3,22.85,27436858
2021-04-13 00:00:00+05:30,23,27.4,22.85,27,70301278
2021-04-15 00:00:00+05:30,26,26.45,24.65,25.2,27490674
2021-04-16 00:00:00+05:30,25.45,26.7,25.1,25.3,28141932
2021-04-19 00:00:00+05:30,23.95,24.3,23.2,23.45,15573583
2021-04-20 00:00:00+05:30,24,24.35,22.55,22.7,12329593
2021-04-22 00:00:00+05:30,22.1,23.8,21.6,22.85,17735723
2021-04-23 00:00:00+05:30,22.85,23.25,22.6,22.9,8406193
2021-04-26 00:00:00+05:30,23.2,23.95,23.1,23.4,5718801
2021-04-27 00:00:00+05:30,23.85,23.95,23.1,23.6,9651949
2021-04-28 00:00:00+05:30,23.7,24.05,23.55,23.85,6826298
2021-04-29 00:00:00+05:30,24.3,25.25,23.5,24.75,20380789
2021-04-30 00:00:00+05:30,24.5,24.85,24,24.05,8822796
2021-05-03 00:00:00+05:30,23.7,23.95,23.2,23.45,4756452
2021-05-04 00:00:00+05:30,23.75,25.55,23.55,24.3,24701880
2021-05-05 00:00:00+05:30,24.8,25.5,23.95,24.15,9046019
2021-05-06 00:00:00+05:30,24.25,25.95,24.25,24.6,19579996
2021-05-07 00:00:00+05:30,25,25.2,24.2,24.35,8431227
2021-05-10 00:00:00+05:30,25,25.1,24.3,24.55,7767394
2021-05-11 00:00:00+05:30,24.3,25.25,23.95,24.85,9316761
2021-05-12 00:00:00+05:30,24.7,26.45,24.7,25.3,38100456
2021-05-14 00:00:00+05:30,25.7,26.15,24.4,25,14970817
2021-05-17 00:00:00+05:30,25.7,25.95,25.1,25.5,10484230
2021-05-18 00:00:00+05:30,25.65,25.9,24.9,25.05,6319747
2021-05-19 00:00:00+05:30,25.05,25.95,24.8,25.1,19751570
2021-05-20 00:00:00+05:30,25.2,25.3,24.8,24.85,5312845
2021-05-21 00:00:00+05:30,25,25.35,24.9,25.15,6098172
2021-05-24 00:00:00+05:30,25.3,25.5,25.15,25.25,4733589
2021-05-25 00:00:00+05:30,25.35,25.45,24.7,24.75,5268968
2021-05-26 00:00:00+05:30,24.8,25,24.6,24.7,3609157
2021-05-27 00:00:00+05:30,24.8,24.85,24.35,24.7,4168928
2021-05-28 00:00:00+05:30,25,25,24.3,24.45,4156002
2021-05-31 00:00:00+05:30,24.5,24.65,24.15,24.3,3090303
2021-06-01 00:00:00+05:30,24.25,24.3,23.55,23.65,4364601
2021-06-02 00:00:00+05:30,23.75,26.1,23.7,25.7,23388054
2021-06-03 00:00:00+05:30,26.3,26.55,25.55,25.7,16348795
2021-06-04 00:00:00+05:30,26.3,29.75,25.8,29.05,115224195
2021-06-07 00:00:00+05:30,30.5,32,27.9,28.65,72005621
2021-06-08 00:00:00+05:30,28.15,28.25,26.1,26.4,35382613
2021-06-09 00:00:00+05:30,26.55,27.35,25.65,26.2,20263511
2021-06-10 00:00:00+05:30,26.55,27,26.3,26.75,11152405
2021-06-11 00:00:00+05:30,27,27.25,26.45,26.55,9379213
2021-06-14 00:00:00+05:30,26.75,26.75,25.4,26.2,9948655
2021-06-15 00:00:00+05:30,26.45,26.75,26.1,26.2,5521255
2021-06-16 00:00:00+05:30,26.4,26.4,25.75,25.85,4132059
2021-06-17 00:00:00+05:30,25,26.2,25,25.45,5802685
2021-06-18 00:00:00+05:30,25.8,25.8,24.2,25.1,6078959
2021-06-21 00:00:00+05:30,25,27.7,24.6,26.35,38098794
2021-06-22 00:00:00+05:30,26.7,26.75,25.8,25.95,16777639
2021-06-23 00:00:00+05:30,25.9,26.1,24.9,25.1,8920516
